country,year,local_price,dollar_price,dollar_ex,usd_wage,bigmacs_per_hour,cum_prod,adjusted_usd_wage,local_wage,adjusted_local_wage
Australia,2001,3.0,3.0,1,11.9840660981339,3.9946886993779667,1.1583011583011584,10.346243731388933,11.9840660981339,10.346243731388933
Brazil,2001,3.6,1.8,2,1.16420604616685,0.6467811367593611,1.2203389830508473,0.9540021767200577,2.3284120923337,1.9080043534401154
Canada,2001,3.33,3.33,1,7.97220992566682,2.394057034734781,1.168421052631579,6.823062548994125,7.97220992566682,6.823062548994125
Chile,2001,1260.0,2.1,601,2.17279717040111,1.034665319238624,1.0,2.17279717040111,1305.8510994110673,1305.8510994110673
Hungary,2001,399.0,1.32,303,2.96885425899762,2.2491320143921363,1.176991150442478,2.5224100095242936,899.5628404762789,764.290232885861
Japan,2001,294.0,2.37,124,6.272503327047,2.646625876391139,1.0,6.272503327047,777.790412553828,777.790412553828
Mexico,2001,21.9,2.43,9,0.990852592055693,0.4077582683356761,1.0478468899521531,0.9456081814595426,8.917673328501238,8.510473633135884
New Zealand,2001,3.6,1.8,2,7.91960557590345,4.399780875501917,1.0588235294117647,7.479627488353258,15.8392111518069,14.959254976706516
Poland,2001,5.9,1.48,4,3.76255575353275,2.542267401035642,1.0727272727272728,3.5074672278695127,15.050223014131,14.02986891147805
United States,2001,2.24,2.24,1,8.51189469597135,3.799952989272924,1.0,8.51189469597135,8.51189469597135,8.51189469597135
Australia,2002,3.0,3.0,1,12.1007607418114,4.033586913937133,1.1583011583011584,10.446990107097173,12.1007607418114,10.446990107097173
Brazil,2002,3.6,1.8,2,1.21175882453538,0.6731993469641,1.2203389830508473,0.9929690367720477,2.42351764907076,1.9859380735440955
Canada,2002,3.33,3.33,1,7.8884043230375,2.3688901870983483,1.168421052631579,6.751337033230293,7.8884043230375,6.751337033230293
Chile,2002,1400.0,2.14,655,2.23540159790707,1.0445801859378832,1.1111111111111112,2.011861438116363,1464.188046629131,1317.7692419662176
Hungary,2002,459.0,1.69,272,3.52574282653302,2.086238358895278,1.3539823008849559,2.6039799960668706,959.0020488169814,708.2825589301888
Israel,2002,12.0,3.0,4,5.62737106397102,1.8757903546570065,0.8275862068965517,6.799740035631649,22.50948425588408,27.198960142526595
Japan,2002,262.0,2.02,130,6.37486876019285,3.1558756238578467,0.891156462585034,7.1534786851019,828.7329388250705,929.952229063247
Mexico,2002,21.9,2.43,9,0.997882308489107,0.41065115575683414,1.0478468899521531,0.9523169062749924,8.980940776401964,8.570852156474931
