country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Chile,2005,1500.0,2.53,2.37421722291639,0.9384257798088499
Colombia,2005,6500.0,2.79,2.35076990955697,0.8425698600562616
Costa Rica,2005,1130.0,2.38,3.07186837845351,1.2907009993502143
Hungary,2005,530.0,2.61,3.47349422861551,1.3308407006189695
Japan,2005,250.0,2.36,6.48498377070695,2.747874479113115
Mexico,2005,28.0,2.8,0.998137641477344,0.35647772909905145
New Zealand,2005,4.45,4.45,8.80487133167298,1.978622771162467
Poland,2005,6.5,2.17,3.8778926254121,1.787047292816636
United States,2005,2.58,2.58,7.71754804779174,2.991297692942535
Australia,2006,3.25,3.25,12.3843222992886,3.8105607074734156
Brazil,2006,6.2,3.1,1.54041081443865,0.49690671433504835
Canada,2006,3.52,3.52,8.03191991854852,2.2817954314058295
Chile,2006,1560.0,2.99,2.4354966663687,0.8145473800564214
Hungary,2006,560.0,2.72,3.66488245236494,1.3473832545459339
Japan,2006,250.0,2.19,6.50396386834864,2.9698465152276894
Mexico,2006,28.0,2.8,1.00169294977504,0.3577474820625143
New Zealand,2006,4.45,4.45,9.14413744618177,2.0548623474565773
Poland,2006,6.5,2.17,4.05418874085927,1.8682897423314608
United States,2006,2.67,2.67,7.47636470174856,2.800136592415191
Australia,2006,3.25,3.25,12.3843222992886,3.8105607074734156
Brazil,2006,6.4,3.2,1.54041081443865,0.48137837951207807
Canada,2006,3.52,3.52,8.03191991854852,2.2817954314058295
Chile,2006,1560.0,2.95,2.4354966663687,0.8255920902944744
Colombia,2006,6500.0,2.6,2.41056479739301,0.9271403066896193
Costa Rica,2006,1130.0,2.22,3.10516720800951,1.3987239675718512
Hungary,2006,560.0,2.72,3.66488245236494,1.3473832545459339
Japan,2006,250.0,2.23,6.50396386834864,2.916575725716879
Mexico,2006,29.0,2.64,1.00169294977504,0.3794291476420606
New Zealand,2006,4.45,4.45,9.14413744618177,2.0548623474565773
Poland,2006,6.5,2.17,4.05418874085927,1.8682897423314608
United States,2006,2.78,2.78,7.47636470174856,2.6893398207728634
Australia,2007,3.45,3.45,12.7923090889982,3.7079156779704925
Brazil,2007,6.4,3.2,1.64042477678596,0.5126327427456125
Canada,2007,3.63,3.63,8.11209182193296,2.2347360390999893
Chile,2007,1670.0,3.09,2.47930238948475,0.8023632328429612
Colombia,2007,6900.0,3.08,2.42780016103093,0.7882468055295226
Costa Rica,2007,1130.0,2.22,3.13250839895932,1.411039819351045
